ell,Delta_Cl_over_Cl_A,Delta_Cl_over_Cl_B
1511,-0.0006176121798523783,-0.0018528365395571351
1512,-0.000618017789131898,-0.0018540533673956938
1513,-0.0006184231237714966,-0.0018552693713144897
1514,-0.0006188281835970062,-0.0018564845507910183
1515,-0.0006192329684348517,-0.001857698905304555
1516,-0.0006196374781120524,-0.0018589124343361568
1517,-0.0006200417124562194,-0.0018601251373686583
1518,-0.0006204456712955553,-0.001861337013886666
1519,-0.0006208493544588535,-0.0018625480633765604
1520,-0.0006212527617754972,-0.0018637582853264915
1521,-0.0006216558930754579,-0.0018649676792263736
1522,-0.0006220587481892957,-0.0018661762445678868
1523,-0.0006224613269481577,-0.0018673839808444732
1524,-0.0006228636291837771,-0.0018685908875513313
1525,-0.0006232656547284726,-0.0018697969641854179
1526,-0.0006236674034151478,-0.0018710022102454433
1527,-0.0006240688750772891,-0.0018722066252318673
1528,-0.0006244700695489665,-0.0018734102086468995
1529,-0.000624870986664832,-0.001874612959994496
1530,-0.0006252716262601178,-0.0018758148787803533
1531,-0.0006256719881706374,-0.001877015964511912
1532,-0.0006260720722327829,-0.0018782162166983485
1533,-0.0006264718782835253,-0.001879415634850576
1534,-0.0006268714061604131,-0.0018806142184812395
1535,-0.0006272706557015721,-0.0018818119671047163
1536,-0.000627669626745703,-0.001883008880237109
1537,-0.0006280683191320826,-0.0018842049573962478
1538,-0.0006284667327005616,-0.0018854001981016848
1539,-0.0006288648672915636,-0.0018865946018746908
1540,-0.0006292627227460859,-0.0018877881682382576
1541,-0.0006296602989056962,-0.0018889808967170886
1542,-0.0006300575956125339,-0.0018901727868376014
1543,-0.0006304546127093081,-0.0018913638381279241
1544,-0.0006308513500392972,-0.0018925540501178915
1545,-0.0006312478074463475,-0.0018937434223390422
1546,-0.0006316439847748733,-0.0018949319543246196
1547,-0.0006320398818698553,-0.001896119645609566
1548,-0.0006324354985768395,-0.0018973064957305183
1549,-0.0006328308347419377,-0.0018984925042258131
1550,-0.0006332258902118253,-0.001899677670635476
1551,-0.0006336206648337408,-0.0019008619945012223
1552,-0.0006340151584554855,-0.0019020454753664565
1553,-0.0006344093709254224,-0.0019032281127762671
1554,-0.0006348033020924742,-0.0019044099062774224
1555,-0.0006351969518061246,-0.0019055908554183737
1556,-0.0006355903199164162,-0.0019067709597492485
1557,-0.0006359834062739494,-0.001907950218821848
1558,-0.0006363762107298821,-0.0019091286321896465
1559,-0.0006367687331359295,-0.0019103061994077883
1560,-0.0006371609733443611,-0.001911482920033083
1561,-0.0006375529312080027,-0.0019126587936240081
1562,-0.0006379446065802335,-0.0019138338197407004
1563,-0.0006383359993149861,-0.001915007997944958
1564,-0.0006387271092667452,-0.0019161813278002358
1565,-0.0006391179362905478,-0.0019173538088716434
1566,-0.0006395084802419812,-0.0019185254407259433
1567,-0.0006398987409771824,-0.001919696222931547
1568,-0.0006402887183528381,-0.001920866155058514
1569,-0.000640678412226183,-0.0019220352366785488
1570,-0.0006410678224549992,-0.0019232034673649977
1571,-0.0006414569488976155,-0.0019243708466928464
1572,-0.0006418457914129069,-0.001925537374238721
1573,-0.000642234349860293,-0.0019267030495808788
1574,-0.0006426226240997375,-0.0019278678722992125
1575,-0.000643010613991748,-0.001929031841975244
1576,-0.0006433983193973742,-0.0019301949581921225
1577,-0.0006437857401782078,-0.0019313572205346234
1578,-0.0006441728761963815,-0.0019325186285891448
1579,-0.0006445597273145679,-0.0019336791819437036
1580,-0.0006449462933959789,-0.0019348388801879366
1581,-0.0006453325743043653,-0.001935997722913096
1582,-0.0006457185699040151,-0.0019371557097120455
1583,-0.0006461042800597537,-0.001938312840179261
1584,-0.0006464897046369421,-0.0019394691139108262
1585,-0.0006468748435014765,-0.0019406245305044296
1586,-0.0006472596965197883,-0.0019417790895593647
1587,-0.000647644263558842,-0.0019429327906765259
1588,-0.0006480285444861348,-0.0019440856334584046
1589,-0.0006484125391696964,-0.001945237617509089
1590,-0.0006487962474780876,-0.0019463887424342628
1591,-0.0006491796692803994,-0.001947539007841198
1592,-0.0006495628044462527,-0.001948688413338758
1593,-0.0006499456528457973,-0.0019498369585373918
1594,-0.0006503282143497109,-0.0019509846430491324
